draw_date,draw_date_text,year_be,first_prize,first_prize_digits,last3_numbers,last2_number,near_first_prize,special_first_prize_raw,prize2_numbers,prize3_numbers,prize4_numbers,prize5_numbers,has_detail_section,source_url,source_file
1996-12-30,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 30 ธันวาคม 2539,2539,879454,6,158|314|584|879,26,,,,,,,False,https://myhora.com/lottery/result-30-12-2539.aspx,1996-12-30-BE2539.html
1996-12-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ธันวาคม 2539,2539,593856,6,381|438|608|755,44,,,,,,,False,https://myhora.com/lottery/result-16-12-2539.aspx,1996-12-16-BE2539.html
1996-12-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ธันวาคม 2539,2539,179528,6,365|566|822|920,66,,,,,,,False,https://myhora.com/lottery/result-01-12-2539.aspx,1996-12-01-BE2539.html
1996-11-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 พฤศจิกายน 2539,2539,951088,6,168|349|577|580,21,,,,,,,False,https://myhora.com/lottery/result-16-11-2539.aspx,1996-11-16-BE2539.html
1996-11-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 พฤศจิกายน 2539,2539,512694,6,255|290|432|964,24,,,,,,,False,https://myhora.com/lottery/result-01-11-2539.aspx,1996-11-01-BE2539.html
1996-10-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ตุลาคม 2539,2539,198019,6,082|270|824|865,18,,,,,,,False,https://myhora.com/lottery/result-16-10-2539.aspx,1996-10-16-BE2539.html
1996-10-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ตุลาคม 2539,2539,947788,6,089|166|484|544,97,,,,,,,False,https://myhora.com/lottery/result-01-10-2539.aspx,1996-10-01-BE2539.html
1996-09-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กันยายน 2539,2539,814368,6,400|818|889|976,59,,,,,,,False,https://myhora.com/lottery/result-16-09-2539.aspx,1996-09-16-BE2539.html
1996-09-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กันยายน 2539,2539,470136,6,392|501|666|927,02,,,,,,,False,https://myhora.com/lottery/result-01-09-2539.aspx,1996-09-01-BE2539.html
1996-08-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 สิงหาคม 2539,2539,352768,6,389|609|875|932,19,,,,,,,False,https://myhora.com/lottery/result-16-08-2539.aspx,1996-08-16-BE2539.html
1996-08-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 สิงหาคม 2539,2539,151091,6,646|650|669|833,61,,,,,,,False,https://myhora.com/lottery/result-01-08-2539.aspx,1996-08-01-BE2539.html
1996-07-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กรกฎาคม 2539,2539,332687,6,010|281|547|771,91,,,,,,,False,https://myhora.com/lottery/result-16-07-2539.aspx,1996-07-16-BE2539.html
1996-07-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กรกฎาคม 2539,2539,625379,6,094|298|543|666,76,,,,,,,False,https://myhora.com/lottery/result-01-07-2539.aspx,1996-07-01-BE2539.html
1996-06-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 มิถุนายน 2539,2539,318311,6,118|649|735|916,21,,,,,,,False,https://myhora.com/lottery/result-16-06-2539.aspx,1996-06-16-BE2539.html
1996-06-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 มิถุนายน 2539,2539,869656,6,126|422|584|961,81,,,,,,,False,https://myhora.com/lottery/result-01-06-2539.aspx,1996-06-01-BE2539.html
