draw_date,draw_date_text,year_be,first_prize,first_prize_digits,last3_numbers,last2_number,near_first_prize,special_first_prize_raw,prize2_numbers,prize3_numbers,prize4_numbers,prize5_numbers,has_detail_section,source_url,source_file
2011-12-30,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 30 ธันวาคม 2554,2554,526402,6,026|168|541|597,65,526403|526401,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 07 หมายเลข 526402 กลุ่มที่ 2 รางวัลละ 20 ล้านบาท ชุดที่ 69 หมายเลข 526402,224304|234593|370101|626135|676686,147519|350103|388649|523279|892539|162161|375889|431056|866130|897729,063867|212590|400368|546679|782276|079502|218795|408327|546751|830779|083130|218946|415613|565831|840774|110902|225233|419873|567598|863266|116493|226431|442584|587718|877005|126071|228951|447585|590605|899943|127054|320524|452928|607999|913805|154399|323174|464781|711937|937088|171544|335264|518319|744406|939489|199035|368469|531782|766077|953521,010878|193364|345299|602551|795924|013805|207840|357728|615916|804304|018131|212457|360609|624025|814466|035203|213953|376261|630607|814842|039799|223336|383338|636085|824082|045910|242512|385096|644279|824274|052772|250544|392657|663312|833179|059400|267497|417238|687938|853138|062923|268084|421949|694515|854060|077152|271486|437841|711218|883735|079302|283235|451481|717156|916474|079861|295359|451754|720290|919283|087286|303063|462245|726065|928336|095833|318414|472754|735992|932519|129224|319285|498106|742895|948282|139849|324879|509225|756612|958081|140030|329265|551490|760729|963541|149199|331632|557836|768375|971669|174299|339715|567745|772524|978564|189218|344616|576519|781298|988096,True,https://myhora.com/lottery/result-30-12-2554.aspx,2011-12-30-BE2554.html
2011-12-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ธันวาคม 2554,2554,884178,6,235|295|651|784,21,884179|884177,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 30 หมายเลข 884178 กลุ่มที่ 2 รางวัลละ 20 ล้านบาท ชุดที่ 51 หมายเลข 884178,021880|269585|306099|862685|967456,045158|270878|348442|643365|887363|063305|299247|613174|685815|887534,089209|299535|505334|648581|896946|124147|331624|549057|653795|898114|130975|332761|549973|667651|937033|143026|342076|567995|672416|947525|159688|366692|593507|713878|963282|175029|372339|594579|718812|963949|249861|373946|597951|785819|976241|291387|412939|599897|865354|980500|292639|428857|631843|877886|982227|293569|443328|647008|894103|992018,018525|231245|462180|641979|849893|028391|239592|465606|644958|866427|030531|243838|469140|646772|869165|037686|256935|473098|652734|871356|045902|264339|473654|661665|880196|057350|273173|476890|669046|889428|080229|275194|490364|672898|904128|081994|287370|517267|677300|909768|091891|327639|520735|681564|921365|111019|328503|540516|693575|926522|123833|335899|548890|724357|947966|124067|359386|551740|724726|955563|151696|368016|553554|727879|956832|156570|370445|555830|756039|956910|158562|381003|576200|767232|957019|161318|392296|594770|769753|959778|177878|403362|600909|791095|962568|182640|418040|605757|801847|963931|183610|422486|623590|812731|979904|226255|427398|640088|816250|983717,True,https://myhora.com/lottery/result-16-12-2554.aspx,2011-12-16-BE2554.html
2011-12-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ธันวาคม 2554,2554,408147,6,253|739|857|922,02,408148|408146,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 05 หมายเลข 408147 กลุ่มที่ 2 รางวัลละ 20 ล้านบาท ชุดที่ 56 หมายเลข 408147,157594|369725|505194|759280|946500,064631|441094|591604|829223|916471|187637|532262|729644|837306|978274,031621|180587|382034|561108|697798|052585|208533|394654|572321|719207|064079|226747|401885|587868|731356|065135|263434|424813|588653|845806|107956|265517|440099|603643|905384|117415|302435|487609|622031|932270|119387|304139|493618|624764|933879|120538|329529|501893|628827|951550|146597|363754|518296|645713|981146|165195|366913|534239|651040|983168,012561|247549|442018|606885|885814|020650|254352|460363|613679|888206|042904|254681|460425|618498|897195|058866|263899|461497|632816|897919|095337|276272|471305|648271|903955|097404|288219|473083|648367|916317|109138|310257|491858|655651|917666|110310|312317|494121|670213|920331|117295|333601|500033|727284|921441|122262|340971|500779|738663|929844|156415|350743|503797|753408|932048|163601|352400|504496|801822|944817|167967|357111|526894|811342|949103|172534|358572|532645|836036|953314|192735|365739|536306|847161|961178|196987|368775|548552|853589|961819|211505|385678|562064|863482|968911|221741|404465|578450|867804|969743|229371|423918|578490|879466|971368|244039|438108|603434|883913|986177,True,https://myhora.com/lottery/result-01-12-2554.aspx,2011-12-01-BE2554.html
2011-11-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 พฤศจิกายน 2554,2554,997777,6,406|425|551|993,57,997778|997776,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 14 หมายเลข 997777 กลุ่มที่ 2 รางวัลละ 20 ล้านบาท ชุดที่ 67 หมายเลข 997777,027748|285304|518836|752950|845496,061084|162750|215770|377865|726631|144033|182065|307707|666153|746712,015962|221052|466216|658073|837021|045192|242578|475386|661363|874792|065499|301409|548085|668784|893198|104358|303541|572521|672335|908490|106664|319587|575738|679486|915053|138469|320436|589578|716572|928165|142839|324522|592873|720200|939497|148522|379408|606737|726129|977820|172284|422103|638427|774531|979409|208954|463699|648935|819357|981715,001689|231660|430182|599557|788970|002166|249575|440805|607421|813550|002645|252631|452978|611172|814858|009319|254625|458779|611881|819322|034480|260908|459045|619085|833004|064897|261848|485335|624266|847532|066585|267853|485852|645332|865060|069257|305217|500177|646044|866930|078644|320611|526374|649923|867541|096171|323712|532341|658308|868466|102644|334692|532602|665464|893777|112788|350123|540641|668720|895537|114367|368056|541445|676608|910257|129904|373174|550317|711650|915585|146543|391066|565399|714405|921271|155625|393320|570171|766798|939755|174292|402828|583560|767111|954081|201492|407671|584922|779527|964958|204001|407844|589739|780325|974694|209599|425991|597386|783801|983484,True,https://myhora.com/lottery/result-16-11-2554.aspx,2011-11-16-BE2554.html
2011-11-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 พฤศจิกายน 2554,2554,805540,6,065|221|380|771,54,805541|805539,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 05 หมายเลข 805540 กลุ่มที่ 2 รางวัลละ 20 ล้านบาท ชุดที่ 70 หมายเลข 805540,106185|306931|331351|898586|914795,130738|376904|663923|787672|863495|338033|500385|737872|814437|956871,003348|261369|525389|660756|899149|043239|285672|527023|680700|900966|083970|321580|529541|706808|915694|096071|358510|589424|726526|923291|097585|397162|591694|732848|940166|115318|400383|604856|737188|943140|150671|433083|630154|788432|957336|220910|448160|631238|804515|976519|230305|452759|639545|860936|984037|238498|459861|640197|876963|996702,005113|283907|477819|638672|805623|027045|292150|480058|642531|809272|039812|302950|484436|655469|812375|045399|305906|492324|667422|823365|062078|306987|503643|668943|846519|083635|310782|527139|672719|856344|093934|345284|534346|673264|862998|123094|348329|543648|678029|888437|123194|350539|554569|680447|903605|142276|369130|561909|681948|903997|165407|384452|563015|694808|913254|179742|384496|571247|704590|913569|183220|386526|572245|716472|915001|190840|400569|574391|738086|916335|191544|431333|574957|740120|934664|193438|439476|578314|746567|942305|202514|440681|588194|748885|943834|209197|454183|603474|773084|964003|233074|461197|609185|778175|979103|239630|473056|627083|795085|987250,True,https://myhora.com/lottery/result-01-11-2554.aspx,2011-11-01-BE2554.html
2011-10-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ตุลาคม 2554,2554,955756,6,057|329|507|991,83,955757|955755,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 28 หมายเลข 955756 กลุ่มที่ 2 รางวัลละ 20 ล้านบาท ชุดที่ 70 หมายเลข 955756,103502|177029|228579|460813|962089,058546|318897|396052|544316|678125|266554|363378|405141|593884|944679,025119|176355|385684|595227|761237|033496|193932|413375|617731|764587|051118|196336|432962|653819|779596|063193|209940|442457|654764|881435|104242|211934|469493|672398|899635|106148|251066|492917|699128|900742|106159|300812|510117|708744|911890|109727|314941|534060|711663|948667|126821|370640|555573|746033|971627|138661|373028|560001|748728|994494,004951|251293|427949|688040|815225|007089|259939|434435|703815|826300|041344|262476|470990|705744|839422|052450|265134|486193|706313|848554|073460|286896|486214|712014|855259|080604|333890|504665|719235|856347|105393|335457|510083|721316|856374|107110|339321|512238|724442|858802|133088|342731|523200|724650|861045|136030|352112|542093|729575|883947|142159|354171|546967|730084|889940|143556|362377|547334|732013|891016|169341|365217|568225|741513|909746|177881|370416|591076|742611|929676|202144|374272|607910|759548|961568|209399|374573|633418|778611|974997|217560|391132|641369|788199|977671|232595|404249|655097|797534|982982|232986|416074|677713|807033|983818|241798|416927|685288|807546|990772,True,https://myhora.com/lottery/result-16-10-2554.aspx,2011-10-16-BE2554.html
2011-10-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ตุลาคม 2554,2554,511052,6,104|189|499|957,15,511053|511051,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 15 หมายเลข 511052 กลุ่มที่ 2 รางวัลละ 20 ล้านบาท ชุดที่ 52 หมายเลข 511052,115296|135655|272895|436327|719119,055024|196154|681975|749916|816144|096165|229586|748295|780560|983708,013705|220052|365586|543931|810807|021596|234015|382397|584075|825213|025375|250746|395944|655525|840446|074910|259014|412876|663387|864785|083305|281597|416434|694986|920935|085839|290066|430612|721873|922683|115991|290982|449572|738281|925733|139807|333826|537177|748673|930343|168485|350034|541275|749294|932888|171860|364774|542575|800722|940188,005545|163196|385683|568355|784635|019221|176675|399598|579475|792604|021759|198609|410691|606734|797625|023271|206764|426593|631013|798563|036550|253028|436185|635168|830565|055989|256078|439063|658801|835634|063646|262209|440133|673670|836164|067336|292641|440586|679635|845112|076338|294931|457472|717048|857944|079763|301794|479180|728084|874424|081191|304584|490103|730068|882938|089188|307677|507414|731551|912011|096797|309773|517882|732159|926269|134236|312123|525010|741665|942159|135815|328014|546433|745564|962464|138115|341876|546722|749931|966662|145246|349000|552952|750416|967353|149825|364298|554055|755896|969351|159066|365596|556469|758384|969443|159362|384143|557441|769491|978041,True,https://myhora.com/lottery/result-01-10-2554.aspx,2011-10-01-BE2554.html
2011-09-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กันยายน 2554,2554,731198,6,384|589|645|812,28,731199|731197,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 02 หมายเลข 731198 กลุ่มที่ 2 รางวัลละ 20 ล้านบาท ชุดที่ 54 หมายเลข 731198,601312|677995|683600|725259|802980,238733|439149|607253|657043|783703|306003|457498|646884|735700|860292,010394|225841|388256|662755|813506|029900|245081|436425|662841|859302|049776|249214|456241|664176|887831|057804|284742|477036|681302|887960|060585|315250|520847|704302|889265|105770|316100|522063|758501|892744|152514|349728|528618|767579|896119|194427|373115|538956|768763|924503|217937|379679|641310|771715|937965|220034|382044|655375|791588|997172,008206|181370|359321|544176|715930|011469|196986|362819|562308|750742|019317|205045|401469|572622|772400|032713|213396|403689|576437|805468|035185|222550|408292|586952|811353|036988|238737|415319|605709|826768|038207|238781|415701|610011|835734|063731|242408|434147|615247|836355|064213|250409|436695|617356|845854|098436|272585|445994|630215|864757|101973|283540|449764|632857|869478|123649|301631|451891|637289|871784|127181|307081|453285|640529|875885|132749|307677|463831|641758|879856|133872|309439|465907|653032|895015|138406|311044|476179|680140|895401|143990|328644|493309|680816|909598|155647|340027|495588|682729|957207|155878|344539|500536|686156|977105|174943|358160|515078|703618|989540,True,https://myhora.com/lottery/result-16-09-2554.aspx,2011-09-16-BE2554.html
2011-09-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กันยายน 2554,2554,724533,6,021|533|821|847,85,724534|724532,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 11 หมายเลข 724533 กลุ่มที่ 2 รางวัลละ 20 ล้านบาท ชุดที่ 70 หมายเลข 724533,200700|571134|694542|931425|940708,038084|202396|387546|543476|856995|106650|377570|435090|766592|931787,019724|275562|356260|626131|869786|022953|277129|392577|635567|876452|073503|281277|396201|648711|879589|078546|292727|415621|748689|879932|096238|301061|470435|755934|885364|167841|313501|470477|820424|895615|173766|322856|504118|838287|951721|207442|329502|561427|842192|957153|246368|335494|603898|842351|960866|249575|354870|624997|855387|961593,012063|218245|451035|607926|803641|018243|221679|456799|630174|820689|040522|228241|462059|694424|829391|058000|231448|468806|695210|834365|070098|239045|481478|701688|850740|071224|244234|490813|701757|867670|071324|267455|492984|706997|878598|083856|275472|494802|712251|907668|106949|282324|510724|718873|919049|109343|286882|521876|721599|943189|124607|292316|536461|725221|948413|133076|295015|552220|731030|955201|162013|319274|558209|738890|960017|168956|319614|574965|755421|964609|181622|333038|577141|758151|979096|192276|348785|577160|768142|979778|198041|359957|580366|772211|983654|201845|392228|592388|776145|990256|204130|406012|598095|776699|993618|206219|437295|599514|777354|998325,True,https://myhora.com/lottery/result-01-09-2554.aspx,2011-09-01-BE2554.html
2011-08-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 สิงหาคม 2554,2554,536960,6,005|074|345|814,62,536961|536959,รางวัลที่ 1 พิเศษ กลุ่มที่ 1 รางวัลละ 30 ล้านบาท ชุดที่ 25 หมายเลข 536960 กลุ่มที่ 2 รางวัลละ 20 ล้านบาท ชุดที่ 53 หมายเลข 536960,239782|715412|921964|973756|999204,079193|495601|563549|659615|736436|113858|539201|572829|719866|765626,018067|152504|485553|671116|893840|028224|202033|518069|681574|906209|033544|248094|539119|698949|909555|044274|267919|540696|730322|912306|089026|270256|546091|748937|912501|089190|346032|561264|777560|916830|096355|371081|561633|797446|939488|115688|373408|568492|801377|947881|122177|380540|590424|823807|948543|133237|382147|652995|827730|990166,008798|152474|326899|516901|760977|012456|154180|330197|529837|763656|013977|164914|340658|537753|770870|027738|166731|348296|546252|783964|042033|174131|355797|559885|784086|043762|175351|373836|565953|788898|046231|176338|378466|576705|796921|047118|187785|382952|610360|818628|052435|188686|402913|622043|819133|053937|191499|419610|632143|846711|076997|198272|434265|657915|854931|099076|216052|435800|665647|904511|104424|239385|444669|676292|905373|107296|263239|458339|686893|913979|113852|287374|470279|692166|928197|114950|297791|482863|702375|942016|131019|300631|492915|713235|943467|133346|319300|497638|722612|950388|144877|319430|512775|738058|957204|146201|321593|512950|760362|967173,True,https://myhora.com/lottery/result-16-08-2554.aspx,2011-08-16-BE2554.html
