draw_date,draw_date_text,year_be,first_prize,first_prize_digits,last3_numbers,last2_number,near_first_prize,special_first_prize_raw,prize2_numbers,prize3_numbers,prize4_numbers,prize5_numbers,has_detail_section,source_url,source_file
2021-12-30,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 30 ธันวาคม 2564,2564,819068,6,419|547,36,819067|819069,,357005|418296|607012|867865|959790,092409|160702|469065|717892|778106|138033|191551|707019|777805|831176,008114|173329|352799|574048|786155|031352|176341|356979|577997|811808|040781|231971|384157|595777|819260|069230|247563|403158|653633|831205|086093|253384|431707|678823|892983|114314|288722|440360|698896|956172|117470|310806|501062|712546|958107|118117|317631|525593|737043|984568|119166|317938|537836|757343|988171|171410|350536|572028|785061|990220,012475|158370|392300|606468|792568|023979|190920|394269|616335|793236|026886|198093|396160|616372|820830|035521|211498|399046|626610|821231|038280|220134|407670|629698|821524|054692|222860|411145|631473|832512|058814|228344|433878|642357|833054|076923|249421|436054|642459|838472|081551|251057|448872|649740|840652|087799|284373|471661|650130|847596|088447|286458|484390|659603|852701|090627|303517|509436|684353|881313|107997|315672|524475|685045|909013|118338|323607|544938|703312|934456|119223|325536|548606|703396|943006|135732|326578|562374|737187|967096|137660|340158|564477|739110|983972|139931|353203|567323|746712|993066|144636|356520|580943|747022|993646|152472|383922|584926|770416|997123,True,https://myhora.com/lottery/result-30-12-2564.aspx,2021-12-30-BE2564.html
2021-12-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ธันวาคม 2564,2564,639235,6,476|522,83,639234|639236,,068617|270185|373811|404030|594923,056539|345452|487970|599259|674588|321651|487547|490758|671611|813866,018790|132862|386560|695350|883434|034896|153828|396403|704752|890620|059239|196717|440782|729500|893900|075924|237658|470056|740788|904872|080125|268525|485544|746024|909188|100812|337859|525200|801283|918511|108778|360617|568582|818596|920039|111912|370299|590940|828624|954549|126892|383081|593359|837110|971454|127145|383929|666129|874545|990324,002247|220349|332332|477139|760442|004578|229104|334455|501057|767195|009962|230494|345595|511642|779377|013390|245842|345853|514131|800972|017724|251879|351692|516975|805050|018547|252591|359881|518244|840115|020260|254522|364039|518334|843543|033487|259318|364905|518757|849775|045295|273525|370924|529492|860173|074264|274085|391391|584386|866187|075344|274487|418603|611899|882420|077905|276985|422214|612117|890038|097212|278621|422501|624024|904103|104445|279716|424559|655015|906188|108558|287399|432873|671426|922099|116948|301789|440089|688354|945169|129595|319268|451899|733066|951617|156793|322497|461013|751809|966673|181571|323862|473098|753376|983785|195986|331055|474886|754464|996001,True,https://myhora.com/lottery/result-16-12-2564.aspx,2021-12-16-BE2564.html
2021-12-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ธันวาคม 2564,2564,077258,6,401|485,82,077257|077259,,082736|303780|425815|813107|953223,062798|137779|205386|344379|678273|071808|141265|236522|376897|889372,004969|183684|424100|661675|844778|049201|221359|462939|676765|846552|071318|235426|499894|689815|872200|087044|239271|512115|746831|904216|117488|241706|524517|751933|906309|126096|267661|549070|807187|933186|138203|343651|595084|819551|954486|149268|383667|607591|822365|959502|179517|398158|610231|831441|962421|181287|406890|611485|838473|981544,002645|181425|377914|571790|782849|009279|185397|391193|586755|829641|013358|198321|400024|594323|830365|022867|209742|404129|612528|841669|027867|211232|420034|613164|855212|048630|212569|449276|614441|887997|048902|230557|468767|620033|891331|066625|233560|486230|630890|893452|070570|235288|489085|632846|906950|087638|255128|504459|644887|907056|098401|255713|517755|659807|908632|117090|281959|528568|662364|909583|128859|286897|539926|668596|921332|150857|301010|541367|682249|935364|150884|303443|541964|684331|952217|157423|311928|552949|699170|981604|159736|312569|557731|710561|988451|166142|325100|558121|712440|988878|176069|349878|558969|714337|991050|178842|359349|566060|736353|992960,True,https://myhora.com/lottery/result-01-12-2564.aspx,2021-12-01-BE2564.html
2021-11-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 พฤศจิกายน 2564,2564,032761,6,245|844,57,032760|032762,,088445|186581|463393|795889|947522,064734|157550|255181|402692|776372|141088|190830|287391|646494|970336,010032|170411|392119|610529|863748|013299|172590|406661|626024|878484|019427|172736|426635|629357|888714|042178|234661|430076|641050|890452|071274|238338|485132|680387|896546|071506|253744|499342|682581|920951|093175|273095|503818|699247|941838|097054|313936|516537|712334|968045|146084|355311|543000|725398|971223|161103|367089|565596|793861|994111,031949|154263|336167|484965|762490|040674|165331|343594|498432|765989|044387|165666|347580|502877|770009|051572|173400|351153|511923|778323|052793|181158|352624|527767|809294|055201|184279|355822|527811|823295|070806|189709|369331|529127|860793|074476|200319|373301|539522|868193|082133|208819|379437|550921|869762|087472|211208|381307|562066|872577|100108|214805|388487|588386|876348|105054|223850|390960|615997|882075|109430|227820|392541|621169|885595|121768|228139|400586|649421|896434|127608|243249|424704|656071|896687|127874|245397|451330|679441|900357|133714|247908|460599|681129|916776|136111|285782|465361|735177|945363|143098|293804|469031|744318|952606|151754|322558|477105|759971|988109,True,https://myhora.com/lottery/result-16-11-2564.aspx,2021-11-16-BE2564.html
2021-11-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 พฤศจิกายน 2564,2564,045037,6,331|755,95,045036|045038,,154731|242158|290540|327384|353639,055598|442694|451582|580827|856005|181815|449774|465605|720148|913160,035635|367097|468567|700265|853435|052860|374819|551566|713700|855876|106479|376101|563263|748027|875025|108526|378187|579025|748789|878118|155599|408466|586241|757503|879884|156831|413142|601005|776290|914833|216950|416741|615486|796946|924705|246296|418427|616270|797887|952989|259087|421053|625516|800818|970377|269297|451637|637667|835704|970868,017235|277937|489609|705423|848838|025171|293202|491899|711126|855790|033101|295811|499431|712482|856621|037397|296425|502855|724766|858126|038104|298088|564326|735375|882112|040525|308092|567601|743911|883405|067414|313456|599176|755038|884356|073958|335896|602430|755855|899728|079599|340382|618976|768771|900733|096224|353355|637137|773082|906715|145773|355172|650032|784755|921339|181821|368085|650062|792343|943090|183045|370814|656418|800661|943479|187289|400618|662279|805397|976102|196633|430702|662785|808448|976702|202104|431918|669286|811118|978367|207919|445308|674467|818288|985977|226876|472993|677508|824785|992165|252170|480731|682852|837033|996754|271885|485226|697538|839047|998111,True,https://myhora.com/lottery/result-01-11-2564.aspx,2021-11-01-BE2564.html
2021-10-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 ตุลาคม 2564,2564,386372,6,295|798,38,386371|386373,,204642|401461|828420|980170|994567,001528|048055|176500|469958|564222|042109|175296|249701|525252|902481,017626|255766|409975|596325|817303|049998|273641|422564|602638|837372|083686|280031|431977|649309|852838|089837|284206|439788|660165|860406|168875|306863|455877|690466|860631|169663|307189|461555|709022|873625|210037|364110|484013|709237|875178|215651|376861|525361|740536|892655|241112|383875|547013|756768|900691|251903|397041|563506|807660|955052,022341|163671|338033|531452|764079|032174|168527|342190|541750|766410|035239|181029|363344|557042|766580|039177|190780|370108|561944|776724|043408|191163|399264|569471|778034|049531|191287|429578|570036|785601|073097|208461|440710|590839|807275|077080|211462|441654|597358|826465|083320|236162|448424|607368|828156|086128|243253|448426|611072|851213|087769|269805|450041|628624|857901|089260|280929|457035|648143|858386|090241|301347|460480|665632|893683|095416|316080|462528|667744|915076|100185|316610|471536|677158|919369|100273|317642|476224|683199|923758|118349|328487|507052|695749|942530|121783|331852|516961|701807|952370|139222|334485|528293|722617|972935|152570|337338|530502|734266|980654,True,https://myhora.com/lottery/result-16-10-2564.aspx,2021-10-16-BE2564.html
2021-10-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 ตุลาคม 2564,2564,578171,6,379|449,83,578170|578172,,097208|142084|229386|427430|600579,013578|235569|277825|383640|606340|222176|256274|363458|481293|660679,012064|242447|534250|751207|861103|014414|261868|538935|756998|862121|056137|279708|594785|769984|881517|072027|311317|629244|780322|918086|077292|362108|636031|782679|919603|113022|399775|668130|816524|945921|184106|414487|694890|844957|947128|216040|464721|704593|854028|976051|231829|506922|716511|854220|987712|235583|530661|742772|859132|996147,020069|224382|414867|562766|841992|027903|246036|422246|574432|853464|032110|249951|433910|593704|870836|040718|257109|438015|604331|874967|042590|271679|455098|692536|878056|048482|273204|459527|695635|878061|063071|280778|474551|702094|878080|066759|297242|490602|710232|887688|070941|324156|499882|721254|890918|081834|325021|508168|728125|904008|089887|332848|513132|741137|913593|112689|338476|514924|749495|939951|113730|346899|517028|762898|953362|132440|362634|532596|774155|963510|138908|371464|538552|811081|983499|145094|375356|548247|812831|986497|145187|379402|549191|819508|989806|166202|409934|550059|831116|989987|174497|412075|557633|840824|991652|217593|413163|562445|841790|992239,True,https://myhora.com/lottery/result-01-10-2564.aspx,2021-10-01-BE2564.html
2021-09-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 กันยายน 2564,2564,070935,6,007|379,90,070934|070936,,107594|146272|323836|573404|701242,004130|045928|218317|228836|388096|040643|062597|225771|268726|852593,041109|204372|430041|559962|777807|099007|229704|442979|580459|794819|112752|230860|465768|600095|798608|148677|274165|476297|622424|808893|154106|285957|481458|646158|821390|159378|297611|482532|696485|842371|173063|298902|483411|699191|893813|182666|356214|491333|746652|912038|193148|360660|499358|768326|934059|194213|417513|516271|770608|985422,005508|196096|315673|605412|752425|011571|205179|341512|605819|756667|017861|216739|358580|609584|775433|024270|216881|393787|633658|779090|028246|220357|407978|648974|786267|031681|233478|426556|654488|797526|048524|234905|439752|657646|807349|051003|237445|442460|658279|807908|053104|237832|444292|662705|820919|065409|241958|475084|665869|847028|083520|248903|480133|667503|874255|094079|250185|487742|685265|890427|103399|273983|494997|690283|897769|105389|281121|500252|696101|915866|114586|281191|501793|697277|919682|144455|286209|522972|699032|934260|151060|288815|545510|703892|934404|167662|289826|569751|723814|949640|176126|299454|571934|729889|979247|182294|311687|576248|746008|990160,True,https://myhora.com/lottery/result-16-09-2564.aspx,2021-09-16-BE2564.html
2021-09-01,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 1 กันยายน 2564,2564,114475,6,123|458,79,114474|114476,,021133|110812|364025|466640|668798,024868|437506|462989|781886|874416|103697|446553|705151|846745|948530,009264|134591|276755|489578|783072|010100|142822|332011|498587|796033|037422|164717|347084|593183|843347|039868|213115|376706|604202|881009|067617|215622|383165|606220|918080|083332|217939|394703|626293|954148|088719|246554|438695|658782|971610|120460|260055|450543|691877|971770|123569|263972|472185|704525|974202|125664|274853|472785|730025|993221,018150|195081|359717|505420|712758|023197|195952|367066|510148|718519|026755|197940|369383|513612|719372|026918|204618|373084|513975|730418|033212|219727|375373|514312|736438|036749|228595|375586|521302|795093|050963|236374|386497|528604|826306|074959|237919|404890|531200|826399|090661|238036|411336|532671|837543|099319|261294|436173|535331|841115|114581|268200|441467|570708|851177|135472|281657|453627|580505|885478|136311|286872|454416|586010|904492|146971|293049|460727|609578|923573|148699|296175|469899|621848|944540|154893|296310|472973|648496|954327|156451|335530|474439|661751|967625|176107|335761|478533|673983|972578|180995|338602|487264|698726|983814|184335|346632|501254|704915|985731,True,https://myhora.com/lottery/result-01-09-2564.aspx,2021-09-01-BE2564.html
2021-08-16,ผลสลากกินแบ่งรัฐบาล งวดวันที่ 16 สิงหาคม 2564,2564,046750,6,160|355,23,046749|046751,,222907|607877|688916|774867|903009,008080|229231|294023|374932|930251|186274|240427|355578|686663|997687,041893|193778|305251|624254|834195|077613|204635|363435|628233|840885|085636|205425|379150|639769|848624|096694|220374|434874|653259|895880|103255|221820|446288|679102|898526|103567|255495|468782|708283|943262|155863|267524|520247|728843|945374|156915|275368|533294|779482|958776|164905|292566|546756|786656|961997|173832|301331|577020|823503|974570,021046|239563|419552|686074|868697|042810|241724|426535|689732|879612|045419|241838|434932|692037|884533|056090|246830|438662|699479|891965|065523|246909|468424|709312|897704|070270|258397|468644|716963|914827|070305|261783|477988|726005|915513|099995|266870|478311|735486|919557|103150|279989|512565|760091|932238|110203|282514|530432|762685|937457|116464|285807|559042|763536|941888|123438|285813|567328|770482|945343|139093|297537|575988|781490|948694|150318|297829|576226|785352|954839|154112|301072|581026|801115|955252|174677|360226|602755|807323|956617|176415|380348|618526|808138|956814|186023|393651|625806|831155|965653|186436|407078|637188|833140|966850|210281|417584|665363|860394|996755,True,https://myhora.com/lottery/result-16-08-2564.aspx,2021-08-16-BE2564.html
